song|genre|difficulty|level|type|score|version|internal_level
失敗作少女|niconico＆VOCALOID™|EXPERT|10|DX|100.2102%|UNiVERSE|N/A
すーぱーぬこになれんかった|niconico＆VOCALOID™|EXPERT|10|DX|95.3415%|maimaiでらっくす PLUS|N/A
初音ミクの激唱|niconico＆VOCALOID™|EXPERT|12|STANDARD|99.2388%|MiLK PLUS|N/A
初音ミクの消失|niconico＆VOCALOID™|EXPERT|11+|STANDARD|100.0445%|PiNK|N/A
アカツキアライヴァル|niconico＆VOCALOID™|EXPERT|10|DX|100.4322%|UNiVERSE|N/A
頓珍漢の宴|niconico＆VOCALOID™|EXPERT|11|STANDARD|97.5890%|PiNK|N/A
絶対にチョコミントを食べるアオイチャン|niconico＆VOCALOID™|EXPERT|9+|DX|100.0654%|Splash|N/A
幾望の月|niconico＆VOCALOID™|EXPERT|10+|DX|94.4542%|maimaiでらっくす|N/A
阿吽のビーツ|niconico＆VOCALOID™|EXPERT|10|DX|100.8703%|Splash PLUS|N/A
KILLER B|niconico＆VOCALOID™|EXPERT|10|DX|99.2460%|maimaiでらっくす PLUS|N/A
グリーンライツ・セレナーデ|niconico＆VOCALOID™|EXPERT|10|DX|97.3733%|maimaiでらっくす|N/A
デンパラダイム|niconico＆VOCALOID™|EXPERT|11+|DX|95.3159%|maimaiでらっくす|N/A
Strobe♡Girl|niconico＆VOCALOID™|EXPERT|10|DX|99.5315%|maimaiでらっくす|N/A
人生リセットボタン|niconico＆VOCALOID™|EXPERT|12|STANDARD|98.1469%|MiLK|N/A
脳漿炸裂ガール|niconico＆VOCALOID™|EXPERT|12+|STANDARD|99.1134%|GreeN|N/A
恋愛裁判|niconico＆VOCALOID™|EXPERT|10|STANDARD|100.1088%|PiNK PLUS|N/A
裏表ラバーズ|niconico＆VOCALOID™|EXPERT|12|STANDARD|96.6345%|GreeN|N/A
ドクハク|niconico＆VOCALOID™|EXPERT|10|STANDARD|99.4738%|MiLK|N/A
magician's operation|niconico＆VOCALOID™|EXPERT|11+|STANDARD|99.3835%|GreeN PLUS|N/A
悪戯センセーション|東方Project|EXPERT|9+|DX|100.0517%|Splash|N/A
天狗の落とし文 feat. ｙｔｒ|東方Project|EXPERT|11+|STANDARD|99.4833%|MiLK|N/A
Armageddon|東方Project|EXPERT|12+|DX|99.9884%|UNiVERSE PLUS|12.7
Calamity Fortune|東方Project|EXPERT|11|DX|97.0641%|MURASAKi PLUS|N/A
Calamity Fortune|東方Project|EXPERT|12+|STANDARD|97.0692%|MURASAKi PLUS|N/A
ロストワードクロニカル|東方Project|EXPERT|10|DX|99.3516%|Splash PLUS|N/A
神々が恋した幻想郷|東方Project|EXPERT|10+|DX|100.0477%|UNiVERSE|N/A
ナイト・オブ・ナイツ (Cranky Remix)|東方Project|EXPERT|10|DX|99.0495%|maimaiでらっくす|N/A
幻想に咲いた花|東方Project|EXPERT|9+|DX|97.0068%|UNiVERSE|N/A
taboo tears you up|東方Project|EXPERT|10+|DX|99.9596%|MURASAKi|N/A
Bad Apple!! feat.nomico (REDALiCE Remix)|東方Project|EXPERT|10|DX|97.2862%|maimaiでらっくす PLUS|N/A
Endless, Sleepless Night|東方Project|EXPERT|10+|STANDARD|76.7529%|GreeN PLUS|N/A
Doll Judgment|東方Project|EXPERT|12|STANDARD|100.4248%|MiLK|N/A
Imperishable Night 2006 (2016 Refine)|東方Project|EXPERT|12|STANDARD|99.9409%|FiNALE|N/A
竹|GAME＆VARIETY|EXPERT|12|DX|100.1198%|UNiVERSE|N/A
Southern Cross|GAME＆VARIETY|EXPERT|10+|DX|100.1726%|UNiVERSE|N/A
キラメキ居残り大戦争|GAME＆VARIETY|EXPERT|10+|DX|83.3274%|Splash PLUS|N/A
ベースラインやってる？笑|GAME＆VARIETY|EXPERT|11|DX|99.3888%|Splash PLUS|N/A
極圏|GAME＆VARIETY|EXPERT|12+|STANDARD|100.5923%|FiNALE|N/A
きたさいたま2000|GAME＆VARIETY|EXPERT|13|STANDARD|99.2272%|ORANGE|N/A
Ignis Danse|GAME＆VARIETY|EXPERT|13|STANDARD|98.7793%|ORANGE|13.0
夜明けまであと３秒|GAME＆VARIETY|EXPERT|13|STANDARD|98.7993%|MURASAKi|13.1
FUJIN Rumble|GAME＆VARIETY|EXPERT|11+|STANDARD|100.4229%|ORANGE|N/A
Scarlet Lance|GAME＆VARIETY|EXPERT|12+|STANDARD|98.6080%|FiNALE|N/A
スーパーシンメトリー|GAME＆VARIETY|EXPERT|12|DX|100.6851%|UNiVERSE|N/A
Grievous Lady|GAME＆VARIETY|EXPERT|12|DX|100.2897%|Splash|N/A
Ether Strike|GAME＆VARIETY|EXPERT|10+|DX|100.0339%|Splash|N/A
Cyaegha|GAME＆VARIETY|EXPERT|11|DX|100.7092%|Splash|N/A
Entrance|GAME＆VARIETY|EXPERT|11|DX|96.2649%|maimaiでらっくす PLUS|N/A
CHAOS|GAME＆VARIETY|EXPERT|11+|DX|97.6281%|maimaiでらっくす PLUS|N/A
Estahv|GAME＆VARIETY|EXPERT|11+|DX|100.1628%|UNiVERSE PLUS|11.7
First Dance|GAME＆VARIETY|EXPERT|12|DX|99.7116%|UNiVERSE PLUS|12.0
Mjölnir|GAME＆VARIETY|EXPERT|12+|DX|98.7014%|UNiVERSE PLUS|N/A
Love's Theme of BADASS ～バッド・アス 愛のテーマ～|GAME＆VARIETY|EXPERT|13|DX|100.5322%|UNiVERSE PLUS|13.0
BATTLE NO.1|GAME＆VARIETY|EXPERT|12|DX|96.6285%|Splash|N/A
ヒミツCULT|GAME＆VARIETY|EXPERT|11|DX|99.3185%|Splash PLUS|N/A
ALiVE|GAME＆VARIETY|EXPERT|10+|DX|94.8923%|Splash PLUS|N/A
Big Daddy|GAME＆VARIETY|EXPERT|12|DX|100.5400%|Splash PLUS|N/A
Strange Bar|GAME＆VARIETY|EXPERT|10+|DX|99.9193%|Splash PLUS|N/A
Dreadnought|GAME＆VARIETY|EXPERT|12|DX|98.6949%|UNiVERSE PLUS|12.5
enchanted love|GAME＆VARIETY|EXPERT|11+|DX|99.0552%|UNiVERSE PLUS|11.8
Caterpillar Song|GAME＆VARIETY|EXPERT|12|DX|97.0436%|UNiVERSE PLUS|12.0
MOBILYS|GAME＆VARIETY|EXPERT|10|DX|95.1258%|UNiVERSE|N/A
CO5M1C R4ILR0AD|GAME＆VARIETY|EXPERT|11+|DX|100.6632%|Splash PLUS|N/A
Re：End of a Dream|GAME＆VARIETY|EXPERT|12|DX|99.8282%|Splash PLUS|N/A
もぺもぺ|GAME＆VARIETY|EXPERT|12+|DX|97.3547%|Splash PLUS|N/A
Sound Chimera|GAME＆VARIETY|EXPERT|12|DX|97.8515%|Splash PLUS|N/A
felys -final remix-|GAME＆VARIETY|EXPERT|10+|DX|100.1371%|Splash|N/A
emomomo|GAME＆VARIETY|EXPERT|10+|DX|99.4672%|Splash|N/A
アトロポスと最果の探究者|GAME＆VARIETY|EXPERT|10+|DX|98.9674%|maimaiでらっくす PLUS|N/A
energy trixxx|GAME＆VARIETY|EXPERT|11|DX|97.5519%|maimaiでらっくす PLUS|N/A
NULCTRL|GAME＆VARIETY|EXPERT|12|DX|98.4634%|maimaiでらっくす PLUS|N/A
Black Lair|GAME＆VARIETY|EXPERT|11|DX|100.2123%|maimaiでらっくす PLUS|N/A
Altale|GAME＆VARIETY|EXPERT|12|STANDARD|100.0737%|FiNALE|N/A
Destr0yer|GAME＆VARIETY|EXPERT|12|STANDARD|98.7219%|UNiVERSE|N/A
Halcyon|GAME＆VARIETY|EXPERT|12|STANDARD|100.4150%|UNiVERSE PLUS|12.5
ENERGY SYNERGY MATRIX|GAME＆VARIETY|EXPERT|13|STANDARD|100.6250%|MiLK PLUS|N/A
FREEDOM DiVE (tpz Overcute Remix)|GAME＆VARIETY|EXPERT|12+|STANDARD|100.8134%|MiLK PLUS|N/A
Credits|GAME＆VARIETY|EXPERT|13|STANDARD|97.3182%|MiLK|12.6
B.B.K.K.B.K.K.|GAME＆VARIETY|EXPERT|12+|STANDARD|93.1410%|ORANGE|N/A
人里に下ったアタイがいつの間にか社畜になっていた件|GAME＆VARIETY|EXPERT|13|STANDARD|97.3679%|MURASAKi PLUS|N/A
Sakura Fubuki|GAME＆VARIETY|EXPERT|12|STANDARD|98.3621%|MURASAKi|N/A
麒麟|GAME＆VARIETY|EXPERT|13|STANDARD|98.2985%|MiLK|N/A
Like the Wind [Reborn]|GAME＆VARIETY|EXPERT|11|STANDARD|97.8745%|maimai PLUS|N/A
YA･DA･YO [Reborn]|GAME＆VARIETY|EXPERT|13|STANDARD|97.6174%|maimai PLUS|13.0
DO RORO DERODERO ON DO RORO|GAME＆VARIETY|EXPERT|13|STANDARD|98.2925%|maimai PLUS|N/A
電車で電車でOPA!OPA!OPA! -GMT mashup-|GAME＆VARIETY|EXPERT|11+|STANDARD|99.2192%|GreeN PLUS|N/A
ミルキースター・シューティングスター|maimai|EXPERT|10+|DX|100.2617%|UNiVERSE PLUS|10.7
届かない花束|maimai|EXPERT|9+|DX|99.5176%|Splash PLUS|N/A
ヤミツキ|maimai|EXPERT|10|DX|100.3543%|maimaiでらっくす PLUS|N/A
分からない|maimai|EXPERT|11+|STANDARD|99.6769%|MURASAKi|N/A
Rising on the horizon|maimai|EXPERT|12+|DX|100.5480%|FESTiVAL|12.7
Jouez Avec Moi?|maimai|EXPERT|10+|DX|100.1937%|UNiVERSE PLUS|N/A
パラマウント☆ショータイム！！|maimai|EXPERT|11+|DX|99.0658%|UNiVERSE PLUS|11.7
白花の天使|maimai|EXPERT|12|DX|99.7509%|UNiVERSE PLUS|12.0
ｉｓｏｐｈｏｔｅ|maimai|EXPERT|10|DX|100.0962%|UNiVERSE PLUS|10.0
前衛的Landscape|maimai|EXPERT|11|DX|99.3565%|UNiVERSE|N/A
とびだせ！TO THE COSMIC!!|maimai|EXPERT|12|DX|99.4224%|UNiVERSE|12.5
チエルカ／エソテリカ|maimai|EXPERT|12|DX|99.4783%|Splash PLUS|N/A
ワンダーシャッフェンの法則|maimai|EXPERT|10+|DX|99.9111%|Splash|N/A
BIRTH|maimai|EXPERT|12+|DX|99.5423%|Splash|N/A
Regulus|maimai|EXPERT|12|DX|100.1072%|Splash|N/A
Komplexe|maimai|EXPERT|11|DX|98.4998%|Splash|N/A
ぼくたちいつでも　しゅわっしゅわ！|maimai|EXPERT|11|DX|99.1875%|Splash|N/A
OTOGEMA|maimai|EXPERT|10+|DX|100.3909%|UNiVERSE PLUS|N/A
♡マイマイマイラブ♡|maimai|EXPERT|10|DX|97.9806%|maimaiでらっくす|N/A
Paradisoda|maimai|EXPERT|10+|DX|99.6288%|Splash PLUS|N/A
福宿音屋魂音泉|maimai|EXPERT|10+|DX|100.2898%|maimaiでらっくす|N/A
FEEL ALIVE|maimai|EXPERT|12|STANDARD|98.0224%|maimai PLUS|N/A
KING is BACK!!|maimai|EXPERT|11+|STANDARD|91.6369%|MURASAKi PLUS|N/A
夢花火|maimai|EXPERT|11|STANDARD|90.2659%|MURASAKi PLUS|N/A
SPILL OVER COLORS|maimai|EXPERT|11+|STANDARD|100.3491%|MiLK|N/A
アージェントシンメトリー|maimai|EXPERT|10+|STANDARD|99.5794%|PiNK|N/A
記憶、記録|maimai|EXPERT|11|STANDARD|98.1117%|GreeN|N/A
MIRROR of MAGIC|maimai|EXPERT|10+|STANDARD|97.3733%|ORANGE|N/A
Backyun! －悪い女－|maimai|EXPERT|11+|STANDARD|96.7991%|GreeN|N/A
ジングルベル|maimai|EXPERT|10+|STANDARD|99.0567%|maimai|N/A
Valsqotch|maimai|EXPERT|13|DX|100.1662%|maimaiでらっくす PLUS|N/A
World's end loneliness|maimai|EXPERT|13|DX|100.5347%|UNiVERSE PLUS|13.0
Metamorphosism|maimai|EXPERT|12+|DX|100.2181%|UNiVERSE PLUS|12.8
WiPE OUT MEMORIES|maimai|EXPERT|12+|DX|100.1362%|UNiVERSE PLUS|N/A
チューリングの跡|maimai|EXPERT|13|DX|98.4021%|UNiVERSE PLUS|13.5
Swift Swing|maimai|EXPERT|12|DX|99.9171%|UNiVERSE PLUS|12.5
Sage|maimai|EXPERT|12+|DX|100.0675%|UNiVERSE PLUS|12.9
HAGAKIRI|maimai|EXPERT|12|DX|99.3023%|UNiVERSE PLUS|N/A
HECATONCHEIR|maimai|EXPERT|12+|DX|100.5472%|UNiVERSE PLUS|N/A
N3V3R G3T OV3R|maimai|EXPERT|12|DX|99.9668%|UNiVERSE PLUS|12.0
Strive against fate|maimai|EXPERT|13|DX|100.6335%|UNiVERSE PLUS|13.2
sølips|maimai|EXPERT|13+|DX|99.9435%|UNiVERSE PLUS|13.7
Trick tear|maimai|EXPERT|12|DX|99.0259%|UNiVERSE|N/A
U&iVERSE -銀河鸞翔-|maimai|EXPERT|12|DX|100.2341%|UNiVERSE|N/A
躯樹の墓守|maimai|EXPERT|13|DX|100.0694%|UNiVERSE|12.9
ヨミビトシラズ|maimai|EXPERT|12|DX|99.6385%|UNiVERSE|12.5
Round Round Spinning Around|maimai|EXPERT|10|DX|96.6726%|UNiVERSE|N/A
Alcyone|maimai|EXPERT|12|DX|99.5262%|UNiVERSE|N/A
Raven Emperor|maimai|EXPERT|12|DX|100.5433%|UNiVERSE|N/A
Yorugao|maimai|EXPERT|12|DX|99.3097%|UNiVERSE|N/A
華の集落、秋のお届け|maimai|EXPERT|11+|DX|97.7347%|UNiVERSE|N/A
星詠みとデスペラード|maimai|EXPERT|11+|DX|99.2047%|UNiVERSE|N/A
BLACK SWAN|maimai|EXPERT|12+|DX|99.4380%|UNiVERSE|N/A
NAGAREBOSHI☆ROCKET|maimai|EXPERT|12|DX|98.2857%|UNiVERSE|N/A
ほしぞらスペクタクル|maimai|EXPERT|12|DX|99.1330%|Splash PLUS|N/A
VIIIbit Explorer|maimai|EXPERT|13|DX|98.7575%|FESTiVAL|12.9
Last Samurai|maimai|EXPERT|12|DX|97.6885%|Splash PLUS|N/A
Xenovcipher|maimai|EXPERT|12|DX|98.5701%|Splash PLUS|N/A
Beautiful Future|maimai|EXPERT|10+|DX|99.7672%|Splash|N/A
Mutation|maimai|EXPERT|12|DX|97.5160%|Splash|N/A
≠彡"/了→|maimai|EXPERT|12+|DX|100.1672%|Splash|N/A
ARAIS|maimai|EXPERT|12|DX|97.5862%|Splash|N/A
渦状銀河のシンフォニエッタ|maimai|EXPERT|11+|DX|99.4160%|maimaiでらっくす PLUS|N/A
封焔の135秒|maimai|EXPERT|12+|DX|97.9417%|maimaiでらっくす PLUS|N/A
Heavenly Blast|maimai|EXPERT|12+|DX|99.5388%|Splash PLUS|N/A
Glorious Crown|maimai|EXPERT|13|STANDARD|99.0728%|PiNK|N/A
Technicians High|maimai|EXPERT|11|DX|97.2558%|UNiVERSE|N/A
Hyper Active|maimai|EXPERT|13|STANDARD|99.1090%|PiNK PLUS|N/A
BREaK! BREaK! BREaK!|maimai|EXPERT|12+|DX|98.4662%|Splash PLUS|N/A
MYTHOS|maimai|EXPERT|12|STANDARD|99.2589%|GreeN PLUS|N/A
GIGANTØMAKHIA|maimai|EXPERT|12+|DX|100.4508%|UNiVERSE|N/A
STEEL TRANSONIC|maimai|EXPERT|13|DX|99.7171%|maimaiでらっくす PLUS|N/A
Alea jacta est!|maimai|EXPERT|12+|STANDARD|100.0063%|FiNALE|13.0
AMAZING MIGHTYYYY!!!!|maimai|EXPERT|13|STANDARD|99.0243%|PiNK PLUS|13.5
CITRUS MONSTER|maimai|EXPERT|12+|STANDARD|98.8442%|PiNK PLUS|N/A
the EmpErroR|maimai|EXPERT|13|STANDARD|98.7398%|FiNALE|N/A
ガラテアの螺旋|maimai|EXPERT|13|STANDARD|100.6601%|ORANGE PLUS|N/A
TEmPTaTiON|maimai|EXPERT|12|DX|98.1882%|maimaiでらっくす|N/A
SILENT BLUE|maimai|EXPERT|12+|STANDARD|99.1129%|MiLK PLUS|N/A
アポカリプスに反逆の焔を焚べろ|maimai|EXPERT|12|DX|100.3748%|maimaiでらっくす|N/A
ねぇ、壊れタ人形ハ何処へ棄テらレるノ？|maimai|EXPERT|13|STANDARD|97.7601%|MURASAKi|13.0
TwisteD! XD|maimai|EXPERT|11|DX|98.4750%|maimaiでらっくす|N/A
QZKago Requiem|maimai|EXPERT|13|STANDARD|100.1762%|FiNALE|N/A
Our Wrenally|maimai|EXPERT|13|STANDARD|97.6359%|MURASAKi|N/A
Contrapasso -paradiso-|maimai|EXPERT|13|STANDARD|98.1305%|PiNK PLUS|13.1
Oshama Scramble!|maimai|EXPERT|11|DX|96.7287%|ORANGE PLUS|N/A
Oshama Scramble!|maimai|EXPERT|12|STANDARD|98.9146%|ORANGE PLUS|N/A
Garakuta Doll Play|maimai|EXPERT|13|STANDARD|99.4601%|GreeN|N/A
Moon of Noon|maimai|EXPERT|13|STANDARD|100.2369%|MURASAKi PLUS|N/A
Blows Up Everything|maimai|EXPERT|11+|DX|99.3003%|maimaiでらっくす|N/A
魔ジョ狩リ|maimai|EXPERT|11|DX|97.9231%|maimaiでらっくす|N/A
MAXRAGE|maimai|EXPERT|11|DX|98.4916%|maimaiでらっくす|N/A
PANDORA PARADOXXX|maimai|EXPERT|13+|STANDARD|98.7787%|FiNALE|N/A
天火明命|maimai|EXPERT|13|STANDARD|100.6309%|MURASAKi|N/A
7thSense|maimai|EXPERT|11+|STANDARD|100.1047%|PiNK|N/A
雷切-RAIKIRI-|maimai|EXPERT|12+|STANDARD|100.4162%|FiNALE|N/A
Schwarzschild|maimai|EXPERT|12+|STANDARD|95.0975%|FiNALE|N/A
Black Out|maimai|EXPERT|13|STANDARD|97.6840%|maimai PLUS|13.0
Fragrance|maimai|EXPERT|12+|STANDARD|96.1755%|maimai PLUS|N/A
Caliburne ～Story of the Legendary sword～|maimai|EXPERT|12+|STANDARD|97.1503%|ORANGE|12.9
Lividi|maimai|EXPERT|13|STANDARD|98.6074%|MURASAKi|N/A
larva|maimai|EXPERT|12+|STANDARD|100.1815%|MiLK PLUS|12.9
Mare Maris|maimai|EXPERT|12|STANDARD|99.8759%|MiLK|N/A
Signature|maimai|EXPERT|12|STANDARD|99.2835%|MiLK|N/A
Ultranova|maimai|EXPERT|12+|STANDARD|93.7437%|MURASAKi PLUS|N/A
Imitation:Loud Lounge|maimai|EXPERT|12+|STANDARD|98.1833%|MURASAKi|N/A
HERA|maimai|EXPERT|12+|STANDARD|98.7468%|MURASAKi|12.9
Revive The Rave|maimai|EXPERT|12+|STANDARD|97.9999%|PiNK|N/A
D✪N’T ST✪P R✪CKIN’|maimai|EXPERT|11+|STANDARD|99.5093%|N/A
Turn around|maimai|EXPERT|13|STANDARD|98.3036%|maimai PLUS|13.1
Prophesy One|maimai|EXPERT|12|STANDARD|99.9901%|PiNK PLUS|N/A
火炎地獄|maimai|EXPERT|12|STANDARD|98.9111%|GreeN PLUS|12.5
ViRTUS|maimai|EXPERT|13|DX|99.9325%|FESTiVAL|N/A
SUPER AMBULANCE|オンゲキ＆CHUNITHM|EXPERT|12|DX|100.6311%|FESTiVAL|12.0
STARTLINER|オンゲキ＆CHUNITHM|EXPERT|9|DX|100.7946%|maimaiでらっくす|N/A
No Limit RED Force|オンゲキ＆CHUNITHM|EXPERT|9+|DX|98.1125%|UNiVERSE|N/A
ぱくぱく☆がーる|オンゲキ＆CHUNITHM|EXPERT|10|DX|96.7883%|UNiVERSE|N/A
Titania|オンゲキ＆CHUNITHM|EXPERT|12|DX|99.3794%|maimaiでらっくす|N/A
YURUSHITE|オンゲキ＆CHUNITHM|EXPERT|12|DX|98.3253%|Splash|N/A
Desperado Waltz|オンゲキ＆CHUNITHM|EXPERT|11+|DX|99.3296%|Splash|N/A
MEGATON BLAST|オンゲキ＆CHUNITHM|EXPERT|12+|DX|98.2239%|Splash PLUS|N/A
脳天直撃|オンゲキ＆CHUNITHM|EXPERT|12+|DX|99.2011%|UNiVERSE|N/A
LiftOff|オンゲキ＆CHUNITHM|EXPERT|11+|DX|98.1257%|UNiVERSE|N/A
Good bye, Merry-Go-Round.|オンゲキ＆CHUNITHM|EXPERT|12|DX|100.3033%|UNiVERSE PLUS|12.5
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2|オンゲキ＆CHUNITHM|EXPERT|10|DX|97.4484%|maimaiでらっくす|N/A
brilliant better|オンゲキ＆CHUNITHM|EXPERT|11+|STANDARD|97.9819%|PiNK PLUS|N/A
DETARAME ROCK&ROLL THEORY|オンゲキ＆CHUNITHM|EXPERT|11|STANDARD|99.9435%|MURASAKi|N/A
猫祭り|オンゲキ＆CHUNITHM|EXPERT|11+|STANDARD|96.1505%|MiLK|N/A
The wheel to the right|オンゲキ＆CHUNITHM|EXPERT|13|STANDARD|100.1244%|MURASAKi|N/A
Trrricksters!!|オンゲキ＆CHUNITHM|EXPERT|12+|DX|100.6843%|N/A
エンドマークに希望と涙を添えて|オンゲキ＆CHUNITHM|EXPERT|12+|STANDARD|99.5349%|MiLK|N/A
World Vanquisher|オンゲキ＆CHUNITHM|EXPERT|12+|STANDARD|97.7712%|MiLK PLUS|N/A
Xevel|オンゲキ＆CHUNITHM|EXPERT|12+|STANDARD|100.5696%|MiLK PLUS|N/A
怒槌|オンゲキ＆CHUNITHM|EXPERT|13|STANDARD|100.1264%|MiLK PLUS|13.1
TiamaT:F minor|オンゲキ＆CHUNITHM|EXPERT|13|STANDARD|98.8245%|FiNALE|13.1
Kattobi KEIKYU Rider|オンゲキ＆CHUNITHM|EXPERT|13|STANDARD|98.1249%|FiNALE|13.2
玩具狂奏曲 -終焉-|オンゲキ＆CHUNITHM|EXPERT|13|DX|97.9970%|maimaiでらっくす|13.3
BOKUTO|オンゲキ＆CHUNITHM|EXPERT|11|DX|99.8845%|maimaiでらっくす|N/A
立川浄穢捕物帳|オンゲキ＆CHUNITHM|EXPERT|11|DX|100.0635%|maimaiでらっくす|N/A
Climax|オンゲキ＆CHUNITHM|EXPERT|12|DX|98.1980%|Splash|N/A
宛城、炎上！！|オンゲキ＆CHUNITHM|EXPERT|12|DX|98.1198%|Splash|N/A
宿星審判|オンゲキ＆CHUNITHM|EXPERT|12|DX|97.6954%|UNiVERSE|12.2
スピカの天秤|オンゲキ＆CHUNITHM|EXPERT|13|DX|98.2855%|UNiVERSE|N/A
ハードコア・シンドローム|オンゲキ＆CHUNITHM|EXPERT|12+|DX|98.5286%|UNiVERSE|N/A
8-EM|オンゲキ＆CHUNITHM|EXPERT|12|DX|99.5707%|UNiVERSE PLUS|12.5
うっせぇわ|POPS＆ANIME|ADVANCED|7|DX|88.2058%|UNiVERSE|N/A
Shiny Smily Story|POPS＆ANIME|ADVANCED|7|DX|83.4397%|Splash PLUS|N/A
命に嫌われている|niconico＆VOCALOID™|ADVANCED|7|DX|98.4166%|Splash|N/A
裏表ラバーズ|niconico＆VOCALOID™|ADVANCED|8|STANDARD|97.2156%|GreeN|N/A
ロストワードクロニカル|東方Project|ADVANCED|7|DX|92.7199%|Splash PLUS|N/A
竹|GAME＆VARIETY|ADVANCED|8+|DX|90.5039%|UNiVERSE|N/A
Grievous Lady|GAME＆VARIETY|ADVANCED|8|DX|88.9530%|Splash|N/A
Big Daddy|GAME＆VARIETY|ADVANCED|8+|DX|95.1165%|Splash PLUS|N/A
チューリングの跡|maimai|ADVANCED|8|DX|100.6916%|UNiVERSE PLUS|N/A
華の集落、秋のお届け|maimai|ADVANCED|7+|DX|99.4865%|UNiVERSE|N/A
雷切-RAIKIRI-|maimai|ADVANCED|9|STANDARD|100.4400%|FiNALE|N/A
Falsum Atlantis.|オンゲキ＆CHUNITHM|ADVANCED|8|DX|96.4994%|UNiVERSE|N/A
チューリングの跡|maimai|BASIC|4|DX|4.3809%|UNiVERSE PLUS|N/A
雷切-RAIKIRI-|maimai|BASIC|7|STANDARD|100.9264%|FiNALE|N/A
